block_number,block_description,status
0,AIR,valid description
1,STONE,needs research
2,GRASS,needs research
3,DIRT,needs research
4,COBBLESTONE,needs research
5,WOOD_PLANKS,needs research
6,SAPLING,needs research
7,BEDROCK,needs research
8,WATER_FLOWING,needs research
9,WATER_STATIONARY,needs research
10,LAVA_FLOWING,needs research
11,LAVA_STATIONARY,needs research
12,SAND,needs research
13,GRAVEL,needs research
14,GOLD_ORE,needs research
15,IRON_ORE,needs research
16,COAL_ORE,needs research
17,WOOD,needs research
18,LEAVES,needs research
20,GLASS,needs research
21,LAPIS_LAZULI_ORE,needs research
22,LAPIS_LAZULI_BLOCK,needs research
24,SANDSTONE,needs research
26,BED,needs research
27,RAIL_POWERED,needs research
28,RAIL_DETECTOR,needs research
30,COBWEB,needs research
31,GRASS_TALL,needs research
32,DEAD_BUSH,needs research
35,WOOL,needs research
37,FLOWER_YELLOW,needs research
38,FLOWER_CYAN,needs research
39,MUSHROOM_BROWN,needs research
40,MUSHROOM_RED,needs research
41,GOLD_BLOCK,needs research
42,IRON_BLOCK,needs research
43,STONE_SLAB_DOUBLE,needs research
44,STONE_SLAB,needs research
45,BRICK_BLOCK,needs research
46,TNT,needs research
47,BOOKSHELF,needs research
48,MOSS_STONE,needs research
49,OBSIDIAN,needs research
50,TORCH,needs research
51,FIRE,needs research
53,STAIRS_WOOD,needs research
54,CHEST,needs research
56,DIAMOND_ORE,needs research
57,DIAMOND_BLOCK,needs research
58,CRAFTING_TABLE,needs research
60,FARMLAND,needs research
61,FURNACE_INACTIVE,needs research
62,FURNACE_ACTIVE,needs research
63,SIGN_STANDING,needs research
64,DOOR_WOOD,needs research
65,LADDER,needs research
66,RAIL,needs research
67,STAIRS_COBBLESTONE,needs research
68,SIGN_WALL,needs research
71,DOOR_IRON,needs research
73,REDSTONE_ORE,needs research
76,TORCH_REDSTONE,needs research
78,SNOW,needs research
79,ICE,needs research
80,SNOW_BLOCK,needs research
81,CACTUS,needs research
82,CLAY,needs research
83,SUGAR_CANE,needs research
85,FENCE,needs research
86,PUMPKIN,needs research
87,NETHERRACK,needs research
88,SOUL_SAND,needs research
89,GLOWSTONE_BLOCK,needs research
91,LIT_PUMPKIN,needs research
95,BEDROCK_INVISIBLE,needs research
96,TRAPDOOR,needs research
98,STONE_BRICK,needs research
102,GLASS_PANE,needs research
103,MELON,needs research
107,FENCE_GATE,needs research
108,STAIRS_BRICK,needs research
109,STAIRS_STONE_BRICK,needs research
110,MYCELIUM,needs research
112,NETHER_BRICK,needs research
113,FENCE_NETHER_BRICK,needs research
114,STAIRS_NETHER_BRICK,needs research
121,END_STONE,needs research
126,WOODEN_SLAB,needs research
128,STAIRS_SANDSTONE,needs research
129,EMERALD_ORE,needs research
157,RAIL_ACTIVATOR,needs research
161,LEAVES2,needs research
167,TRAPDOOR_IRON,needs research
188,FENCE_SPRUCE,needs research
189,FENCE_BIRCH,needs research
190,FENCE_JUNGLE,needs research
191,FENCE_DARK_OAK,needs research
192,FENCE_ACACIA,needs research
193,DOOR_SPRUCE,needs research
194,DOOR_BIRCH,needs research
195,DOOR_JUNGLE,needs research
196,DOOR_ACACIA,needs research
197,DOOR_DARK_OAK,needs research
246,GLOWING_OBSIDIAN,needs research
247,NETHER_REACTOR_CORE,needs research
 LAVA_FLOWING,LAVA,needs research
 WATER_FLOWING,WATER,needs research
